"Issue Type","Issue ID","Summary","Parent","Priority","Epic Name","Owner Role","Labels","Labels","Labels","Labels","Labels","Components","Description"
"Epic","100","EPIC-PRIVACY: On-device Privacy & Data Governance","","Medium","EPIC-PRIVACY","PM + iOS TL","lifememo","v1","ondevice","epic","","Privacy","Owner (Role): PM (product) + iOS Tech Lead

Goal:
- Group related tickets under this epic.
- Define v1 scope and quality bar for this area.

Acceptance Criteria:
- Epic exists and can be used as a Parent for child work items during CSV import.

Test Steps (Manual):
1. Import this Epic and confirm it appears in Jira as an Epic work item.

Notes:
- Jira Cloud CSV hierarchy linking is handled via 'Parent' field with Issue IDs; keep Epics at top of the CSV."
"Epic","110","EPIC-AUDIO: Recording & Metering (Background Recording)","","Medium","EPIC-AUDIO","PM + iOS TL","lifememo","v1","ondevice","epic","","Audio","Owner (Role): PM (product) + iOS Tech Lead

Goal:
- Group related tickets under this epic.
- Define v1 scope and quality bar for this area.

Acceptance Criteria:
- Epic exists and can be used as a Parent for child work items during CSV import.

Test Steps (Manual):
1. Import this Epic and confirm it appears in Jira as an Epic work item.

Notes:
- Jira Cloud CSV hierarchy linking is handled via 'Parent' field with Issue IDs; keep Epics at top of the CSV."
"Epic","120","EPIC-STT: On-device Speech-to-Text (ja_JP / en_US)","","Medium","EPIC-STT","PM + iOS TL","lifememo","v1","ondevice","epic","","Speech","Owner (Role): PM (product) + iOS Tech Lead

Goal:
- Group related tickets under this epic.
- Define v1 scope and quality bar for this area.

Acceptance Criteria:
- Epic exists and can be used as a Parent for child work items during CSV import.

Test Steps (Manual):
1. Import this Epic and confirm it appears in Jira as an Epic work item.

Notes:
- Jira Cloud CSV hierarchy linking is handled via 'Parent' field with Issue IDs; keep Epics at top of the CSV."
"Epic","130","EPIC-SEC: App Lock & Exposure Control","","Medium","EPIC-SEC","PM + iOS TL","lifememo","v1","ondevice","epic","","Security","Owner (Role): PM (product) + iOS Tech Lead

Goal:
- Group related tickets under this epic.
- Define v1 scope and quality bar for this area.

Acceptance Criteria:
- Epic exists and can be used as a Parent for child work items during CSV import.

Test Steps (Manual):
1. Import this Epic and confirm it appears in Jira as an Epic work item.

Notes:
- Jira Cloud CSV hierarchy linking is handled via 'Parent' field with Issue IDs; keep Epics at top of the CSV."
"Epic","140","EPIC-EXPORT: Encrypted Export / Full Backup / Restore","","Medium","EPIC-EXPORT","PM + iOS TL","lifememo","v1","ondevice","epic","","Export","Owner (Role): PM (product) + iOS Tech Lead

Goal:
- Group related tickets under this epic.
- Define v1 scope and quality bar for this area.

Acceptance Criteria:
- Epic exists and can be used as a Parent for child work items during CSV import.

Test Steps (Manual):
1. Import this Epic and confirm it appears in Jira as an Epic work item.

Notes:
- Jira Cloud CSV hierarchy linking is handled via 'Parent' field with Issue IDs; keep Epics at top of the CSV."
"Epic","150","EPIC-STORAGE: Storage Management (Limits / Auto-delete)","","Medium","EPIC-STORAGE","PM + iOS TL","lifememo","v1","ondevice","epic","","Storage","Owner (Role): PM (product) + iOS Tech Lead

Goal:
- Group related tickets under this epic.
- Define v1 scope and quality bar for this area.

Acceptance Criteria:
- Epic exists and can be used as a Parent for child work items during CSV import.

Test Steps (Manual):
1. Import this Epic and confirm it appears in Jira as an Epic work item.

Notes:
- Jira Cloud CSV hierarchy linking is handled via 'Parent' field with Issue IDs; keep Epics at top of the CSV."
"Epic","160","EPIC-SUPPORT: Diagnostics (Local log export)","","Medium","EPIC-SUPPORT","PM + iOS TL","lifememo","v1","ondevice","epic","","Diagnostics","Owner (Role): PM (product) + iOS Tech Lead

Goal:
- Group related tickets under this epic.
- Define v1 scope and quality bar for this area.

Acceptance Criteria:
- Epic exists and can be used as a Parent for child work items during CSV import.

Test Steps (Manual):
1. Import this Epic and confirm it appears in Jira as an Epic work item.

Notes:
- Jira Cloud CSV hierarchy linking is handled via 'Parent' field with Issue IDs; keep Epics at top of the CSV."
"Epic","170","EPIC-ENHANCE: Enhancements (P2 backlog)","","Medium","EPIC-ENHANCE","PM + iOS TL","lifememo","v1","ondevice","epic","","Enhancements","Owner (Role): PM (product) + iOS Tech Lead

Goal:
- Group related tickets under this epic.
- Define v1 scope and quality bar for this area.

Acceptance Criteria:
- Epic exists and can be used as a Parent for child work items during CSV import.

Test Steps (Manual):
1. Import this Epic and confirm it appears in Jira as an Epic work item.

Notes:
- Jira Cloud CSV hierarchy linking is handled via 'Parent' field with Issue IDs; keep Epics at top of the CSV."
"Story","1001","[P0-01] 自動の外部送信ゼロ（iCloud同期/自動送信の封じ込め）","100","Highest","","iOS Engineer (Core/Privacy)","lifememo","v1","ondevice","p0","privacy","Privacy","Owner (Role): iOS Engineer (Core/Privacy)

Goal:
- Ensure the app does not automatically transmit user data externally.
- v1: iCloud is used only as a manual destination for encrypted backup files (via Files). No auto sync.

Acceptance Criteria:
- No app-initiated network traffic occurs during normal usage flows (record, browse, transcribe, search, settings).
- No CloudKit/auto-sync code paths or UI that imply automatic sync are present.
- Only user-initiated export/backup actions can result in external storage (e.g., user saves backup to iCloud Drive).

Test Steps (Manual):
1. Run with a network proxy (e.g., Proxyman/Charles). Perform: record → stop → browse → open note → run transcription (on-device) → export. Verify no network requests appear.
2. Verify that saving an encrypted backup to iCloud Drive is only possible via explicit user action (Files picker).
3. Static scan: confirm no analytics/ads/crash auto-upload SDKs are enabled for production.

Suggested Automation:
- Add a debug NetworkGuard wrapper to assert/log if unexpected URLSession/NW calls happen.

Notes:
- If any third-party SDK exists, it must be fully disabled for user-data paths in v1."
"Story","1002","[P0-02] 保存パス統一 + バックアップ除外（音声必須／DB・テキストも除外寄り）","100","Highest","","iOS Engineer (Storage)","lifememo","v1","ondevice","p0","storage","Storage","Owner (Role): iOS Engineer (Storage)

Goal:
- Unify persistent storage under Application Support.
- Exclude audio (must) and DB/text (prefer) from device backups; provide encrypted manual backup instead.

Acceptance Criteria:
- DB/audio/transcripts/metadata are all stored under Application Support with a single, documented layout.
- Audio directory is excluded from backup.
- DB and transcript/text are excluded from backup (v1 policy).
- If migrating from previous versions, existing user data is migrated without loss.

Test Steps (Manual):
1. Fresh install: create memo + recording + transcript. Verify files are created in expected Application Support paths.
2. Verify backup-exclusion flag is applied to audio and DB/transcript directories (debug screen or resource values).
3. Upgrade simulation: start from old data layout → update → verify all content remains accessible.

Suggested Automation:
- Unit tests for path resolver: always returns Application Support paths.
- Unit tests for isExcludedFromBackupKey = true on target directories."
